product_name,review
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,Laptop bagus seperti baru. Charger berfungsi dengan baik. Seller ramah dan responsif.
Thinkpad T495 Ryzen 7 Pro 3700U 16GB 512GB VEGA 2GB / thinkpad t495,"Seller respon sangat baik dan fast respon
Packaging barang nya juga safety dan rapi"
Dell Latitude 7400 i5 8th 16GB 512GB / Dell latitude 7390 7490 7300,admin komunikatif dan solutif. barang joss gandos...!!!!
Thinkpad T480s Core i7 / thinkpad T480s i5 / T480s t480s,Sesuai ekspektasi 👍
ThinkPad T490 T490s Core i7 16GB 512GB  / Thinkpad T490s T490 / T490 T490s,mantap seller ramah udah gitu dipihin yg bagus pula barangnya sudah saya coba bagus mulus next klo mau beli lagi ditoko ini lagi dah. makasih seller
ThinkPad X270 X260 / Thinkpad X260 / thinkpad x270 / X270 X260,selalu puas dengan barang yang dikirim...
Thinkpad L380 L390 Core i7 16GB 512GB / ThinkPad L480 L490 i5 i7 8th / thinkpad,"Very Recommended seller,, sangat responsif, jujur, dan produknya ciamik. Smoga tokonya makin jaya dan berkah."
ThinkPad T490 T490s Core i7 16GB 512GB  / Thinkpad T490s T490 / T490 T490s,"Bagus, rekomendasi banget beli di sini, pedagangnya amanah, dia ga segan kasih masukan utk pilihan yang terbaik
barang yang di kirim kualitas nya baik, sesuai deskripsi,..."
ThinkPad T490 T490s Core i7 16GB 512GB  / Thinkpad T490s T490 / T490 T490s,"Seller sangat responsif dan jujur. Semoga tetap jd toko laptop second terRECOMMENDED se Indonesia yaa min hahaa. Thanks a lot

Semoga laptopnya umur panjang yaa."
Thinkpad T480s Core i7 / thinkpad T480s i5 / T480s t480s,"Barang kualitas bagus, seller responsif"
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,"packing rapi, kondisi bagus belum dicoba mau diinstal dulu semoga lancar buat kerja, trimakasih"
ThinkPad T490 T490s Core i7 16GB 512GB  / Thinkpad T490s T490 / T490 T490s,"Sellernya sangat baik dan fast respon! Awalnya saya pesan yang TS, tapi seller langsung menginformasikan bahwa unit TS hanya tinggal satu dan kondisinya kurang oke. Luar..."
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,"kondisi baik, selayaknya dengan harga. packing rapi dan aman. kondisi juga bersih."
ThinkPad X13 Yoga Gen 2 / Thinkpad L13 Yoga Gen 2 / ThinkPad X13 Yoga G1 G2 / ThinkPad L13 Yoga Gen 1 Gen 2 / thinkpad yoga,"mantapppp... sudahh ke 4 kali nyaa beli disini..

teruskan.."
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,"Tested, layar OK, keyboard OK, touchpad OK, RAM OK, Storage OK, Audio OK, Mic Input OK, Bluetooth OK, Wifi OK. Overall saat datang kondisi cukup baik

Barang: T490"
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,"mantap..seller nya jujur dan responsive banget, komunikasi nya oke, ngk kecewa beli di toko ini"
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,"Barangnya masih sangat bagus, dikirim dgn aman & speknya bagus. Makasih banyak seller 🙏🏻"
